Data_name,Data_name_kr,Acronym,Data_type,Data_category,Source_organization,Access_method,Portal_or_system_url,Spatial_coverage,Spatial_resolution,Temporal_coverage,Temporal_resolution,Data_volume_or_scale,Collection_method,Instruments_or_tools,Data_format,Parameters_measured,Usage_in_study,Data_availability,Notes,Source
Towing Tank Precision Experiment Data,국립수산과학원 견인수조 정밀실험 데이터,Not in source,lab_analysis,streamflow,National Institute of Fisheries Science (NIFS),field_collection,Not in source,Lab experiment (Towing Tank),Controlled laboratory environment,"2011, 2012, 2023, 2024",Experimental samples,Velocity range 0.03 to 2.0 m/s,model simulation (physical tank testing),"Towing Tank, OTT SVR 100, AMWSCM, SAMWSCM",Not in source,"Instrument velocity, trolley velocity (reference), vertical angle, measurement time","Used to determine elemental uncertainties (Type A and Type B) related to vertical angles, measurement time, and speed ranges.",restricted,Precision validation experiments conducted at the National Institute of Fisheries Science facility.,50
Drought Basic Survey System Data,가뭄기초조사 시스템 자료,Not in source,administrative,hydrological,환경부 / 국가가뭄정보분석센터,internal_DB,가뭄기초조사 시스템,national,watershed or facility-scale,Not in source,periodic,Not in source,manual_input and excel_upload,가뭄정보분석시스템,"Excel, DB","취수장/정수장 시설용량, 가동상태, 일평균 유입량 등",상수도통계와 중복되는 항목 분석 및 입력 시스템 개선 사례(엑셀 업로드)로 참조,restricted,상수도통계와 유사 항목이 많아 데이터 일관성 확보가 필요한 대상,27
Resident Registration Population Statistics,주민등록 인구통계,Not in source,administrative,demographic,행정안전부 (Ministry of the Interior and Safety),public_portal,행정안전부 홈페이지,national,administrative-district-scale,Not in source,monthly/annual,national_scale,administrative_reporting,Not in source,"CSV, Excel","내국인 인구수, 세대수",상수도 보급률 및 급수인구 산출을 위한 기초 인구 데이터로 활용,open,상수도통계의 총인구 항목과 일치 여부 검증에 사용,27
National Water Quality Monitoring Network,국가 수질측정망,Not in source,water_quality,water_quality,Ministry of Environment,public_portal,물환경정보시스템 (link),"Seomjingang Dam 1, 2, 3 points",point_measurement,2014-2023,4 times/year,3 points in reservoir,manual_sampling,Not in source,Not in source,"pH, TOC, SS, DO, T-P, T-N, Chl-a",Baseline analysis of long-term water quality trends in Okjeong Reservoir.,open,Primary monitoring data for verifying environmental standards.,28
Soyang Lake Water Quality Load Data,소양호 부하량 데이터,Not in source,water_quality,sediment,K-water,literature_cited,Not in source,Soyang Lake (Inflow and Discharge points),Point measurement,2005–2019,Annual average,15 years of records,field_collection,Sampling and lab analysis,Not in source,"SS (Suspended Solids) load, TP (Total Phosphorus) load, sedimentation rate",Used to verify the dam's function in minimizing turbid water impact on downstream areas.,unclear,Calculated SS sedimentation rate at 64.8% and TP at 42.4%.,52
Wire Rope Non-Destructive Testing Data,와이어로프 비파괴 검사 데이터,MRT,field_measurement,other,K-water,field_collection,Not in source,남강댐 제수문 및 권양설비,Not in source,2021–2022,one-time,Not in source,automatic sensor,"자기 로프 검사 장비 (Magnetic Rope Test), 버니어캘리퍼스","Signal processing data (LF, LMA)","국부 손상(LF), 단면적 감소(LMA), 와이어 직경",육안으로 확인이 어려운 와이어로프 내부 단선 및 부식 상태를 정량적으로 평가,internal_only,수문 운영 안정성 진단을 위한 신규 도입 항목,53
Municipal Water Supply and Operation Performance Data,지자체 지방상수도 시설별 운영 실적자료,Not in source,administrative,water level,"환경부 (Ministry of Environment), K-water",literature_cited,가뭄기초조사 보고서,national,municipal level,2017–2021,monthly,60 records per municipality,manual sampling,Not in source,Not in source,"정수공급량, 광역상수도 수입량, 지방정수장 공급실적",과거 물이용 패턴 도출 및 물수급 분석 적용 결과 비교를 위한 종속변수로 활용,open,지방상수도 시설의 운영 실적을 포함하며 시군별 물이용 주기성 파악에 용이함,32
Multi-regional Water Supply Performance Data,광역상수도 공급실적자료,Not in source,DB_system,streamflow,K-water,internal_DB,K-water internal system,national,intake source unit,1991–2021,monthly,30 years of records,automatic sensor,Not in source,Not in source,월별 공급실적,지자체별 운영 실적자료의 적정성 확인 및 월별 공급패턴 산정,internal_only,지자체 기준이 아닌 취수원 단위로 구분되어 있어 자료 적정성 비교용으로 활용,32
Resident Registration Population Statistics,주민등록 인구 및 세대현황,Not in source,administrative,ecology,행정안전부,public_portal,주민등록 인구통계,national,municipal level,2005–2021,monthly,Not in source,administrative records,Not in source,"CSV, Excel","총인구수, 세대수, 세대당 인구, 남녀 인구 및 비율, 65세 이상 고령화 비율",물수요 영향변수 중 지역성 인자 데이터 구축 및 상관성 분석,open,지자체별 인구 구조 변화 분석에 사용,32
River Experiment Center Measurement Data,안동하천실험센터 실측자료,Not in source,field_measurement,streamflow,한국건설기술연구원 (KICT),field_collection,안동하천실험센터,안동하천실험센터,reach-scale,2023.06.20–2023.06.22,event-based,Not in source,automatic sensor,"에디공분산시스템, H-ADCP, ADCP, CSAT3, LI-7200RS",Not in source,"증발량, 침투량, 유속, 풍속, CO2/H2O 농도","하천 유하 중 발생하는 손실(증발, 침투)을 실증적으로 검증",restricted,실규모 하천실험을 통한 이론식과 실측값 비교 검증,32
Hapcheon Reservoir Floating Solar Database,합천호 수상태양광 데이터베이스,Not in source,DB_system,ecology,K-water (한국수자원공사),internal_DB,Not in source,합천호,point measurement,2011–2021,one-time,10여 년 관찰 데이터,automatic sensor,IoT 센서,Not in source,"안정성, 환경성 영향",10여 년 이상의 안정성과 환경성 영향을 관찰하여 데이터베이스로 구축된 사례로 언급됨,internal_only,주민참여형 민관투자사업(PPP) 방식으로 설치된 설비의 데이터,64
Indonesia Renewable Energy Status Table,인도네시아 전체에너지원 중 신재생 에너지원별 설비현황,Not in source,administrative,other,인도네시아 전력공사(PLN),literature_cited,Not in source,인도네시아,national,2020,one-time,"7,992MW",manual sampling,Not in source,Table,"수력, 지열, 소수력, 바이오, 풍력, 태양광 설비용량",인도네시아의 신재생에너지 시장 현황 및 에너지원별 비중 분석에 활용,open,2020년 기준 인도네시아 전력 설비 데이터,64
Chlorine ion penetration profile of Sihwa tidal power plant structure,시화조력발전소 구조물 콘크리트 염소이온 침투 프로파일,Not in source,field_measurement,sediment,K-water,field_collection,Not in source,시화조력발전소 해양환경시험장,point measurement,2020,one-time,시화조력발전소 시공 시 제작된 시험체,manual sampling,KS F 2713 (염화물 분석시험 방법),Not in source,"수용성 염화물 함유량, 산-가용성 염화물 함유량, 염소이온 확산계수",시화조력발전소 구조물의 잔존 내구수명 예측 및 100년 내구수명 확보 점검을 위한 기초 자료로 활용,internal_only,1차년도(2020년) 연구에서 수집 및 분석됨,65
Chlorine ion penetration profile in the Nakdong River Estuary barrage,낙동강하굿둑 염소이온 침투 프로파일,Not in source,field_measurement,sediment,K-water,field_collection,Not in source,"낙동강하굿둑 좌안 Pier 6 (비말대, 간만대)",5mm~10mm interval (depth),2021-05-26,event-based,"코어 시편 7개 (비말대 4개, 간만대 3개)",manual sampling (coring),"코어채취기(φ100), 철근탐지기, KS F 2713",Not in source,"수용성 염화물 함유량, 산-가용성 염화물 함유량, 표면 염소이온 농도 증가 속도, 평균 확산계수",낙동강하굿둑 구조물의 실제 염분 침투 특성 확인 및 잔존 내구수명 예측 모델링에 활용,internal_only,2차년도(2021년) 핵심 수집 데이터,65
Ara Waterway Durability Design Data,아라뱃길 내구성 설계자료,Not in source,literature,other,K-water,internal_DB,경인운하사업 제1공구 시설공사 설계도서,"경인아라뱃길 제1공구 (인천터미널, 서해갑문 등)",reach-scale,Not in source,one-time,"케이슨, 상치 및 프리캐스트 안벽 설계 데이터",literature_cited,"설계도면, 공사지",Not in source,"환경지수(ET), 내구지수(DT), 콘크리트 배합비, 피복두께, 목표 내구연한(65년)",아라뱃길 구조물의 내구수명 검토 및 해양구조물 내구수명 확인 방안 도출을 위한 비교 자료로 활용,internal_only,기존 설계 및 시공 자료를 재분석함,65
National Pollution Source Survey,전국오염원조사자료,Not in source,administrative,pollution source,국립환경과학원,public_portal,전국오염원조사 홈페이지,"보은군 보은읍, 내북면 (중초천 소유역별)",administrative unit,2018 (published in 2019),annual,Not in source,statistical survey,오염총량관리기술지침,Not in source,"인구, 가축 사육두수, 산업시설, 폐수 발생량, 토지이용현황 등","생활계, 축산계, 토지계 오염원 현황 파악 및 발생/배출 오염부하량 산정",open,2019년에 발표된 2018년 기준 자료를 활용함,34
Ecological Status Survey,생태환경 조사자료,Not in source,biological,ecology,보은군,literature_cited,보은군 소하천정비종합계획 보고서 (2018),보은읍 내 계획소하천 양안,reach-scale,05 ~ 2016. 12,3 times (seasonal),Not in source,"field measurement, manual sampling","쌍안경, 필드스코프, 투망, 족대, Surber 망",Not in source,"식물상, 포유류, 조류, 양서·파충류, 육상곤충, 저서성 대형무척추동물, 어류",중초천 유역 내 소하천들의 수생태 및 육상생태 현황 파악,restricted,보은군 소하천정비종합계획 보고서의 조사 결과를 인용함,34
Gijang Seawater Desalination Plant Operational Data,기장 해수담수화시설 운영 데이터,Not in source,field_measurement,seawater desalination,"K-water, Busan Metropolitan City",internal_DB,Not in source,Busan Gijang-gun,Point measurement,2014-2023,Daily,"45,000 m3/day capacity",automatic sensor,"DAF, UF, DMF, RO system",Not in source,"Flow rate, water quality, pressure, energy consumption","시설의 현황, 상태, 노후도 및 재가동 가능 여부 판단을 위한 기초 자료로 활용",internal_only,국가 R&D 사업으로 완공되었으나 현재 운휴 중인 시설 데이터임,54
National Water Supply Plan Data,국가수도기본계획 데이터,Not in source,administrative,"water demand, supply forecast",Ministry of Environment,literature_cited,Not in source,"National, Busan, Ulsan",Administrative district (City/Gun),2022-2040 (forecast),Step-wise (5-year units),National scale,survey / statistical projection,Not in source,Report (Paper/Digital),"생활용수 수요량, 공업용수 수요량, 계획인구, 급수보급률",부산 및 인근 산업단지의 장래 용수 수요·공급 전망 조사에 활용,open,상위 계획에 근거한 장래 수요 예측 데이터,54
2023 Waterworks Statistics,2023년 상수도 통계,Not in source,administrative,water supply infrastructure,Ministry of Environment,public_portal,National Waterworks Information System,National (Korea),Municipal/Regional level,2014-2023,annual,"519 intake stations, 478 purification plants, 2,634 reservoirs",administrative reporting,Not in source,Not in source,"Water supply rate, operation rate, leakage rate, pipeline length, new/replacement rates",Used to analyze the current status and necessity of digital transformation in domestic waterworks.,open,Primary reference for national water supply infrastructure status.,36
Regional Input-Output Table,지역산업연관표,IO Table,administrative,economics,Bank of Korea,public_portal,Bank of Korea Statistics System,National (17 cities/provinces),Regional/Industrial sector,2015 (base year for analysis),Not in source,Not in source,Statistical compilation,Flex-IO model,Not in source,"Production inducement, Value-added inducement, Employment inducement",Used for elastic input-output analysis to estimate regional economic ripple effects from 2030 to 2050.,open,Secondary data used for macro-economic impact assessment.,36
Algal Bloom Alert System Data,조류경보제 데이터,Not in source,field_measurement,ecology,Ministry of Environment (National Institute of Environmental Research),public_portal,Water Environment Information System (link),"29 sites national (including Daecheong Dam, Juam Dam, etc.)",Point measurement,2005–2023 (for study analysis),Weekly (at least once per week),29 sites (including Daecheong Dam Chudong site),Manual sampling and lab analysis,Not in source,Not in source,"Cyanobacteria cell count, Chlorophyll-a",Used as the target variable (dependent variable) for the AI prediction model training and validation.,open,Cyanobacteria count criteria used for issuing interest/alert/outbreak warnings.,37
